,HG,,,PRD,,,CC,,,SOG,,,WCVI,,
Year,CSAS,TAC,Total landings,CSAS,TAC,Total landings,CSAS,TAC,Total landings,CSAS,TAC,Total landings,CSAS,TAC,Total landings
*2003/04,2040,0,0,8140,4863,4112,7310,2898,2998,31270,18783,13601,6750,4858,4454
*2004/05,0,0,0,5480,4029,3800,6780,4442,3778,19480,18937,18871,5800,5008,4269
*2005/06,0,0,0,6410,4783,2618,6330,3715,3072,19460,18903,18762,0,0,0
*2006/07,0,0,0,3825,1070,969,4083,562,398,18294,13200,10222,0,0,0
2007/08,0,0,0,4014,1796,1662,0,0,0,13470,11485,9999,0,0,0
2008/09,0,0,0,3468,1978,2000,0,0,0,11797,9845,10169,0,0,0
2009/10,0,0,0,3100,1558,1484,0,0,0,9000,8711,8324,0,0,0
2010/11,0,0,0,3834,2292,2147,0,0,0,13777,13247,5128,0,0,0
2011/12,0,0,0,5498,1533,1383,0,0,0,27690,16603,11339,427,0,0
2012/13,43,0,0,5234,2068,2027,0,0,0,16590,**16558,16534,0,0,0
