Stock ,Model ,Maturity,Sbo,SB2017,FMSY,MSY
HG,AM1,Base,29.8518,7.35048,4.80404,5.2117
PRD,AM1,Base,57.1826,22.465,2.11049,7.13496
CC,AM1,Base,59.4795,47.2454,1.02057,13.395
SOG,AM1,Base,156.757,174.053,1.00686,60.2639
WCVI,AM1,Base,56.6444,31.4506,1.44247,18.1714
HG,AM2,Base,22.3104,3.71432,5.43771,8.23378
PRD,AM2,Base,56.9499,19.9504,2.11049,7.13496
CC,AM2,Base,52.9199,29.0684,1.02057,13.395
SOG,AM2,Base,130.239,108.263,1.00686,60.2639
WCVI,AM2,Base,45.6185,16.7297,1.44247,18.1714
HG,AM1,Selectivity,20.8015,5.39203,5.43771,8.23378
PRD,AM1,Selectivity,46.2853,21.7969,1.96859,8.73463
CC,AM1,Selectivity,49.1588,43.4853,0.76714,15.512
SOG,AM1,Selectivity,138.021,157.843,0.86528,77.7405
WCVI,AM1,Selectivity,48.9472,32.773,0.96873,20.858
HG,AM2,Selectivity,16.872,3.557,4.11948,13.5477
PRD,AM2,Selectivity,46.8625,20.7552,1.83047,7.99939
CC,AM2,Selectivity,43.6094,29.1636,0.78563,11.6651
SOG,AM2,Selectivity,114.811,103.928,0.6885,44.4883
WCVI,AM2,Selectivity,38.4188,18.3595,0.91906,12.243
