Stock,Model ,Sensitivity Case,Parameter,Initial Values,Estimated Values
SOG,AM1,Base,log_ro,7.28,8.04
SOG,AM1,Base,"steepness,h",0.8,0.7
SOG,AM1,Base,log.m,-0.69186,-0.60012
SOG,AM1,Base,log_avgrec,7.09,7.74
SOG,AM1,Base,log_recinit,5.97,6.39
SOG,AM1,Base,rho,0.413297,0.24794
SOG,AM1,Base,kappa,1.22062,1.7287
SOG,AM1,Base,sig,0.58189,0.37872
SOG,AM1,Base,tau,0.69330,0.65958
SOG,AM1,1,log_ro,7.28,8.04
SOG,AM1,1,"steepness,h",0.8,0.7
SOG,AM1,1,log.m,-0.69186,-0.60012
SOG,AM1,1,log_avgrec,7.09,7.74
SOG,AM1,1,log_recinit,5.97,6.39
SOG,AM1,1,rho,0.50000,0.24794
SOG,AM1,1,kappa,0.50000,1.7287
SOG,AM1,1,sig,1.00000,0.37872
SOG,AM1,1,tau,1.00000,0.65958
SOG,AM1,2,log_ro,7.28,8.04
SOG,AM1,2,"steepness,h",0.8,0.7
SOG,AM1,2,log.m,-0.69186,-0.60012
SOG,AM1,2,log_avgrec,7.09,7.74
SOG,AM1,2,log_recinit,5.97,6.39
SOG,AM1,2,rho,0.05882,0.247937
SOG,AM1,2,kappa,1.47059,1.72868
SOG,AM1,2,sig,0.20000,0.37872
SOG,AM1,2,tau,0.80000,0.65958
SOG,AM1,3,log_ro,7.28,8.04
SOG,AM1,3,"steepness,h",0.8,0.7
SOG,AM1,3,log.m,-0.69186,-0.60012
SOG,AM1,3,log_avgrec,7.09,7.74
SOG,AM1,3,log_recinit,5.97,6.39
SOG,AM1,3,rho,0.33166,0.24794
SOG,AM1,3,kappa,2.89287,1.72868
SOG,AM1,3,sig,0.33860,0.37872
SOG,AM1,3,tau,0.48066,0.65958
SOG,AM1,4,log_ro,7.28,8.04
SOG,AM1,4,"steepness,h",0.8,0.7
SOG,AM1,4,log.m,-0.69186,-0.60012
SOG,AM1,4,log_avgrec,7.09,7.74
SOG,AM1,4,log_recinit,5.97,6.39
SOG,AM1,4,rho,0.41330,0.247937
SOG,AM1,4,kappa,1.22062,1.72868
SOG,AM1,4,sig,0.581889989,0.37872
SOG,AM1,4,tau,0.69330,0.65958
SOG,AM1,5,log_ro,7.28,8.04
SOG,AM1,5,"steepness,h",0.8,0.7
SOG,AM1,5,log.m,-0.69186,-0.60012
SOG,AM1,5,log_avgrec,7.09,7.74
SOG,AM1,5,log_recinit,5.97,6.39
SOG,AM1,5,rho,0.80000,0.247937
SOG,AM1,5,kappa,0.80000,1.72868
SOG,AM1,5,sig,1.00000,0.37872
SOG,AM1,5,tau,0.50000,0.65958
SOG,AM2,Base,log_ro,7.28,7.32
SOG,AM2,Base,"steepness,h",0.8,0.8
SOG,AM2,Base,log.m,-0.69186,-0.78778
SOG,AM2,Base,log_avgrec,7.09,6.97
SOG,AM2,Base,log_recinit,5.97,5.62
SOG,AM2,Base,rho,0.413297,0.27260
SOG,AM2,Base,kappa,1.22062,1.6435
SOG,AM2,Base,sig,0.58189,0.40727
SOG,AM2,Base,tau,0.69330,0.66529
SOG,AM2,1,log_ro,7.28,7.32
SOG,AM2,1,"steepness,h",0.8,0.8
SOG,AM2,1,log.m,-0.69186,-0.78778
SOG,AM2,1,log_avgrec,7.09,6.97
SOG,AM2,1,log_recinit,5.97,5.62
SOG,AM2,1,rho,0.50000,0.27260
SOG,AM2,1,kappa,0.50000,1.6435
SOG,AM2,1,sig,1.00000,0.40727
SOG,AM2,1,tau,1.00000,0.66529
SOG,AM2,2,log_ro,7.28,7.32
SOG,AM2,2,"steepness,h",0.8,0.8
SOG,AM2,2,log.m,-0.69186,-0.78778
SOG,AM2,2,log_avgrec,7.09,6.97
SOG,AM2,2,log_recinit,5.97,5.62
SOG,AM2,2,rho,0.05882,0.272596
SOG,AM2,2,kappa,1.47059,1.64346
SOG,AM2,2,sig,0.20000,0.40727
SOG,AM2,2,tau,0.80000,0.66529
SOG,AM2,3,log_ro,7.28,7.32
SOG,AM2,3,"steepness,h",0.8,0.8
SOG,AM2,3,log.m,-0.69186,-0.78778
SOG,AM2,3,log_avgrec,7.09,6.97
SOG,AM2,3,log_recinit,5.97,5.62
SOG,AM2,3,rho,0.33166,0.27260
SOG,AM2,3,kappa,2.89287,1.64346
SOG,AM2,3,sig,0.33860,0.40727
SOG,AM2,3,tau,0.48066,0.66529
SOG,AM2,4,log_ro,7.28,7.32
SOG,AM2,4,"steepness,h",0.8,0.8
SOG,AM2,4,log.m,-0.69186,-0.78778
SOG,AM2,4,log_avgrec,7.09,6.97
SOG,AM2,4,log_recinit,5.97,5.62
SOG,AM2,4,rho,0.413297,0.272596
SOG,AM2,4,kappa,1.22062,1.64346
SOG,AM2,4,sig,0.581889989,0.40727
SOG,AM2,4,tau,0.69330,0.66529
SOG,AM2,5,log_ro,7.28,7.32
SOG,AM2,5,"steepness,h",0.8,0.8
SOG,AM2,5,log.m,-0.69186,-0.78778
SOG,AM2,5,log_avgrec,7.09,6.97
SOG,AM2,5,log_recinit,5.97,5.62
SOG,AM2,5,rho,0.80000,0.272596
SOG,AM2,5,kappa,0.80000,1.64346
SOG,AM2,5,sigma,1.00000,0.40727
SOG,AM2,5,tau,0.50000,0.66529
