Year	Total	Region
1957	1	A2W
1965	1	A2W
1973	2	A2W
1974	6	A2W
1975	6	A2W
1976	3	A2W
1978	3	A2W
1979	9	A2W
1980	3	A2W
1981	23	A2W
1982	21	A2W
1983	37	A2W
1984	6	A2W
1985	13	A2W
1986	5	A2W
1987	5	A2W
1988	17	A2W
1989	13	A2W
1990	28	A2W
1991	36	A2W
1992	24	A2W
1993	29	A2W
1994	2	A2W
1998	13	A2W
1999	8	A2W
2000	1	A2W
2001	4	A2W
2002	13	A2W
2003	14	A2W
2004	9	A2W
2005	12	A2W
2006	5	A2W
2007	7	A2W
2008	2	A2W
2009	9	A2W
2010	7	A2W
2011	10	A2W
2012	5	A2W
2013	7	A2W
2014	3	A2W
2015	4	A2W
2016	5	A2W
2017	6	A2W
