Year,Total,Region
1951,60,CC
1952,55,CC
1953,31,CC
1954,36,CC
1955,27,CC
1956,69,CC
1957,99,CC
1958,77,CC
1959,103,CC
1960,30,CC
1961,59,CC
1962,20,CC
1963,23,CC
1964,24,CC
1965,36,CC
1971,16,CC
1972,41,CC
1973,22,CC
1974,34,CC
1975,116,CC
1976,79,CC
1977,42,CC
1978,36,CC
1980,49,CC
1981,91,CC
1982,65,CC
1983,85,CC
1984,90,CC
1985,80,CC
1986,82,CC
1987,70,CC
1988,70,CC
1989,75,CC
1990,89,CC
1991,89,CC
1992,92,CC
1993,103,CC
1994,101,CC
1995,122,CC
1996,68,CC
1997,78,CC
1998,82,CC
1999,66,CC
2000,56,CC
2001,57,CC
2002,76,CC
2003,69,CC
2004,56,CC
2005,69,CC
2006,64,CC
2007,26,CC
2008,17,CC
2009,34,CC
2010,26,CC
2011,30,CC
2012,24,CC
2013,15,CC
2014,26,CC
2015,20,CC
2016,20,CC
2017,44,CC
