Year	Total	Region
1951	16	HG
1952	24	HG
1956	23	HG
1957	103	HG
1958	58	HG
1959	2	HG
1962	12	HG
1963	17	HG
1964	11	HG
1965	22	HG
1972	16	HG
1973	22	HG
1974	26	HG
1975	75	HG
1976	52	HG
1977	44	HG
1978	21	HG
1979	22	HG
1980	70	HG
1981	97	HG
1982	57	HG
1983	38	HG
1984	46	HG
1985	46	HG
1986	67	HG
1987	36	HG
1988	24	HG
1989	40	HG
1990	61	HG
1991	44	HG
1992	36	HG
1993	41	HG
1994	18	HG
1995	6	HG
1996	14	HG
1997	18	HG
1998	30	HG
1999	34	HG
2000	24	HG
2001	15	HG
2002	36	HG
2003	25	HG
2004	13	HG
2005	14	HG
2006	9	HG
2007	6	HG
2008	10	HG
2009	12	HG
2010	12	HG
2011	13	HG
2012	9	HG
2013	12	HG
2014	12	HG
2015	11	HG
2016	5	HG
2017	8	HG
