Year,Total,Region
1951,53,PRD
1952,70,PRD
1953,19,PRD
1954,30,PRD
1955,14,PRD
1956,21,PRD
1957,103,PRD
1958,17,PRD
1959,55,PRD
1960,92,PRD
1961,92,PRD
1962,59,PRD
1963,74,PRD
1964,71,PRD
1965,77,PRD
1966,10,PRD
1971,11,PRD
1972,10,PRD
1973,11,PRD
1974,11,PRD
1975,41,PRD
1976,12,PRD
1977,28,PRD
1978,41,PRD
1979,52,PRD
1980,70,PRD
1981,169,PRD
1982,59,PRD
1983,55,PRD
1984,49,PRD
1985,63,PRD
1986,101,PRD
1987,73,PRD
1988,65,PRD
1989,49,PRD
1990,62,PRD
1991,60,PRD
1992,61,PRD
1993,54,PRD
1994,82,PRD
1995,57,PRD
1996,34,PRD
1997,35,PRD
1998,38,PRD
1999,26,PRD
2000,51,PRD
2001,69,PRD
2002,72,PRD
2003,65,PRD
2004,40,PRD
2005,53,PRD
2006,29,PRD
2007,24,PRD
2008,57,PRD
2009,55,PRD
2010,47,PRD
2011,56,PRD
2012,48,PRD
2013,44,PRD
2014,32,PRD
2015,56,PRD
2016,44,PRD
2017,51,PRD
