Year,Total,Region
1947,50,SoG
1948,73,SoG
1949,31,SoG
1950,50,SoG
1951,83,SoG
1952,95,SoG
1953,113,SoG
1954,142,SoG
1955,60,SoG
1956,135,SoG
1957,158,SoG
1958,186,SoG
1959,223,SoG
1960,95,SoG
1961,134,SoG
1962,90,SoG
1963,65,SoG
1964,109,SoG
1965,83,SoG
1966,21,SoG
1971,28,SoG
1972,148,SoG
1973,75,SoG
1974,30,SoG
1975,69,SoG
1976,84,SoG
1977,82,SoG
1978,80,SoG
1979,110,SoG
1980,163,SoG
1981,273,SoG
1982,170,SoG
1983,231,SoG
1984,163,SoG
1985,155,SoG
1986,93,SoG
1987,129,SoG
1988,109,SoG
1989,105,SoG
1990,98,SoG
1991,88,SoG
1992,83,SoG
1993,90,SoG
1994,85,SoG
1995,89,SoG
1996,121,SoG
1997,95,SoG
1998,132,SoG
1999,86,SoG
2000,109,SoG
2001,95,SoG
2002,99,SoG
2003,137,SoG
2004,94,SoG
2005,70,SoG
2006,79,SoG
2007,119,SoG
2008,98,SoG
2009,71,SoG
2010,84,SoG
2011,108,SoG
2012,144,SoG
2013,122,SoG
2014,93,SoG
2015,158,SoG
2016,161,SoG
2017,148,SoG
