Year,Total,Region
1946,7,WCVI
1947,58,WCVI
1948,61,WCVI
1949,24,WCVI
1950,67,WCVI
1951,42,WCVI
1952,54,WCVI
1953,40,WCVI
1954,67,WCVI
1955,30,WCVI
1956,49,WCVI
1957,12,WCVI
1958,32,WCVI
1959,78,WCVI
1960,59,WCVI
1961,15,WCVI
1962,27,WCVI
1963,51,WCVI
1964,25,WCVI
1965,18,WCVI
1966,7,WCVI
1971,11,WCVI
1972,25,WCVI
1973,42,WCVI
1974,77,WCVI
1975,127,WCVI
1976,128,WCVI
1977,87,WCVI
1978,116,WCVI
1979,66,WCVI
1980,56,WCVI
1981,92,WCVI
1982,90,WCVI
1983,46,WCVI
1984,49,WCVI
1985,36,WCVI
1986,46,WCVI
1987,69,WCVI
1988,107,WCVI
1989,89,WCVI
1990,89,WCVI
1991,97,WCVI
1992,87,WCVI
1993,71,WCVI
1994,85,WCVI
1995,86,WCVI
1996,99,WCVI
1997,94,WCVI
1998,92,WCVI
1999,78,WCVI
2000,89,WCVI
2001,38,WCVI
2002,83,WCVI
2003,79,WCVI
2004,79,WCVI
2005,52,WCVI
2006,23,WCVI
2007,10,WCVI
2008,22,WCVI
2009,29,WCVI
2010,27,WCVI
2011,28,WCVI
2012,10,WCVI
2013,5,WCVI
2014,4,WCVI
2015,20,WCVI
2016,25,WCVI
2017,19,WCVI
