Year,Harvest,Biomass,Region
1951,0,0,CC
1952,0,0,CC
1953,0,0,CC
1954,0,0,CC
1955,0,0,CC
1956,0,0,CC
1957,0,0,CC
1958,0,0,CC
1959,0,0,CC
1960,0,0,CC
1961,0,0,CC
1962,0,0,CC
1963,0,0,CC
1964,0,0,CC
1965,0,0,CC
1966,0,0,CC
1967,0,0,CC
1968,0,0,CC
1969,0,0,CC
1970,0,0,CC
1971,0,0,CC
1972,0,0,CC
1973,0,0,CC
1974,0,0,CC
1975,0,0,CC
1976,0,0,CC
1977,0,0,CC
1978,0,0,CC
1979,6001.0221599999995,19.304128427294117,CC
1980,3000.057488,9.650605095852102,CC
1981,5901.23192,18.983122512403362,CC
1982,5208.143344,16.75359052170756,CC
1983,14626.07404,47.04925329842017,CC
1984,21691.532427124257,69.7774673370014,CC
1985,20058.745424,64.52510712863194,CC
1986,15587.68908,50.1425830237311,CC
1987,21552.42388,69.32998202742857,CC
1988,24496.235959999998,78.7996565167059,CC
1989,25266.435176,81.27723853254454,CC
1990,23436.191456,75.38969822988909,CC
1991,41127.18664,132.29821046884035,CC
1992,37050.755336,119.18511884555296,CC
1993,36796.743816,118.3680128803765,CC
1994,34995.06723712699,112.57236754934634,CC
1995,54792.32195115207,176.2563096042102,CC
1996,70900.64086483055,228.07365817695077,CC
1997,67620.13955836199,217.52091952051236,CC
1998,96221.378144,309.52557608002695,CC
1999,87521.029992,281.5382376549378,CC
2000,100426.175984,323.0515980392874,CC
2001,42289.289344,136.0364702595227,CC
2002,154164.127408,495.9162014435496,CC
2003,152258.587416,489.78644758693116,CC
2004,151955.134368,488.81029778210427,CC
2005,98022.138384,315.31827372601015,CC
2006,191801.3772,616.9879595979831,CC
2007,59237.300832,190.55494755033277,CC
2008,0,0,CC
2009,0,0,CC
2010,0,0,CC
2011,0,0,CC
2012,0,0,CC
2013,0,0,CC
2014,108799.03071199999,349.9854534164168,CC
2015,76870.23624,247.27669271152948,CC
2016,159643.065176,513.5408852888471,CC
2017,178146.897224,573.064136616363,CC
