Year,Harvest,Biomass,Region
1951,0,0,PRD
1952,0,0,PRD
1953,0,0,PRD
1954,0,0,PRD
1955,0,0,PRD
1956,0,0,PRD
1957,0,0,PRD
1958,0,0,PRD
1959,0,0,PRD
1960,0,0,PRD
1961,0,0,PRD
1962,0,0,PRD
1963,0,0,PRD
1964,0,0,PRD
1965,0,0,PRD
1966,0,0,PRD
1967,0,0,PRD
1968,0,0,PRD
1969,0,0,PRD
1970,0,0,PRD
1971,0,0,PRD
1972,0,0,PRD
1973,0,0,PRD
1974,0,0,PRD
1975,11445.486936,36.817919320174795,PRD
1976,21134.944781538463,67.98703245691533,PRD
1977,48987.936,157.5847218554622,PRD
1978,54000.1276,173.7079734897479,PRD
1979,86980.80192,279.8004283611429,PRD
1980,50997.34856,164.04861368712605,PRD
1981,62600.23192,201.37284688215126,PRD
1982,58819.089008,189.20964094338154,PRD
1983,63251.13644,203.466680917916,PRD
1984,54356.80200342357,174.85532610849197,PRD
1985,56904.023584,183.04924561306893,PRD
1986,42144.139903999996,135.56955256513612,PRD
1987,52085.062176,167.54757815943532,PRD
1988,59131.613896,190.21497310410757,PRD
1989,59079.904408,190.0486336754824,PRD
1990,60609.870224,194.97023799787564,PRD
1991,66203.566768,212.96407864529752,PRD
1992,67337.546768,216.61187313269247,PRD
1993,71447.09028799999,229.83148035501176,PRD
1994,81658.18220461017,262.67858947835947,PRD
1995,73701.74626715161,237.08427286609782,PRD
1996,83997.55443093249,270.2038977828652,PRD
1997,80303.09891378568,258.3195484386316,PRD
1998,77571.943064,249.53394794032943,PRD
1999,84383.534128,271.4455198672135,PRD
2000,74961.521104,241.13672503034624,PRD
2001,70425.601104,226.5455470807664,PRD
2002,80902.66912,260.248249908706,PRD
2003,67709.038616,217.80689060676306,PRD
2004,61295.701328,197.17642410385213,PRD
2005,70843.359336,227.88939456992267,PRD
2006,37286.169584,119.94240098113616,PRD
2007,50694.349104,163.07392300009414,PRD
2008,75555.726624,243.04816934174121,PRD
2009,71757.347216,230.82951692676303,PRD
2010,49366.231728,158.80162609645717,PRD
2011,56075.764592,180.38489651947563,PRD
2012,39686.623807200005,127.66419826383331,PRD
2013,33064.58884,106.36239166346219,PRD
2014,51377.912248,165.27281351709584,PRD
2015,38131.6197128,122.66205063915832,PRD
2016,12442.02856,40.02360111569748,PRD
2017,37465.338424,120.51875251014457,PRD
