Year,Harvest,Biomass,Region
1951,0,0,WCVI
1952,0,0,WCVI
1953,0,0,WCVI
1954,0,0,WCVI
1955,0,0,WCVI
1956,0,0,WCVI
1957,0,0,WCVI
1958,0,0,WCVI
1959,0,0,WCVI
1960,0,0,WCVI
1961,0,0,WCVI
1962,0,0,WCVI
1963,0,0,WCVI
1964,0,0,WCVI
1965,0,0,WCVI
1966,0,0,WCVI
1967,0,0,WCVI
1968,0,0,WCVI
1969,0,0,WCVI
1970,0,0,WCVI
1971,0,0,WCVI
1972,0,0,WCVI
1973,0,0,WCVI
1974,0,0,WCVI
1975,40.82328,0.1313206015462185,WCVI
1976,1179.3392,3.7937062668907564,WCVI
1977,0,0,WCVI
1978,0,0,WCVI
1979,0,0,WCVI
1980,0,0,WCVI
1981,2699.779584,8.684669115589918,WCVI
1982,0,0,WCVI
1983,0,0,WCVI
1984,0,0,WCVI
1985,0,0,WCVI
1986,0,0,WCVI
1987,0,0,WCVI
1988,0,0,WCVI
1989,0,0,WCVI
1990,0,0,WCVI
1991,24944.384856,80.24126489812437,WCVI
1992,17479.16772,56.22710422870589,WCVI
1993,17421.107944,56.04033715095126,WCVI
1994,20456.294944343295,65.80394709827407,WCVI
1995,50669.317897299414,162.99340244610266,WCVI
1996,46881.36903275916,150.80830307344715,WCVI
1997,61517.042633851044,197.88843630452254,WCVI
1998,29678.978152,95.47153644189581,WCVI
1999,35757.564544,115.02517401212775,WCVI
2000,25545.847848,82.17605509423866,WCVI
2001,29528.8392,94.9885684517647,WCVI
2002,46010.10452,148.00561353156306,WCVI
2003,25703.244272,82.68236896908908,WCVI
2004,25989.007232,83.6016131799126,WCVI
2005,4233.827728,13.619405498137818,WCVI
2006,0,0,WCVI
2007,0,0,WCVI
2008,0,0,WCVI
2009,0,0,WCVI
2010,0,0,WCVI
2011,0,0,WCVI
2012,0,0,WCVI
2013,0,0,WCVI
2014,0,0,WCVI
2015,0,0,WCVI
2016,0,0,WCVI
2017,0,0,WCVI
